Code,Version Number,Description,Professional Recognition,Notes,Key search terms
C41016,2025.01,,,,
C41003,2025.01,,,,
C41023,2025.01,,,<p>This course is not offered to international students.</p>,
C41005,2025.01,,,,
C41021,2025.01,,,,
C41004,2025.01,,,,
C41020,2025.01,,,,
C41010,2025.01,,,,
C41002,2025.01,,,,
C41025,2025.01,,,,
C41013,2025.01,,,,
C41001,2025.01,,,,
C41015,2025.01,,,,
C41018,2025.01,,,,
C42006,2025.01,,,,
C42008,2025.01,,,,
C42012,2025.01,,,,
C42002,2025.01,,,,
C42013,2025.01,,,,
C42016,2025.01,,,,
C42016,2025.02,,,,
C42018,2025.01,,,,
C42017,2025.01,,,,
C42004,2025.01,,,,
C42003,2025.01,,,,
C42005,2026.01,,,,
C42001,2025.01,,,,
C42005,2025.01,,,,
C42009,2025.01,,,,
C42010,2025.01,,,,
17900,2025.01,"<p>Further information on this subject is available from UTS: Design, Architecture and Building.</p>",,,
24982,2025.01,"<p>Students must undertake original research, supervised by a senior member of the school&#39;s academic staff. Students must prepare a proposal, present it and gain approval before proceeding. The thesis should advance knowledge in the area of marketing, and should be of a standard publishable in an international refereed journal.</p>",,,
92052,2025.01,"<p>Further information is available from:</p> <p>Research administration officer<br /> telephone &#43;61 2 9514 4834<br /> email <a href=""mailto:health.research.students&#64;uts.edu.au"" rel=""nofollow"">health.research.students&#64;uts.edu.au</a></p>",,,
51992,2025.01,"<p>For subject description, contact UTS: Communication.</p>",,,
31676,2025.01,<p>This subject is used for administrative purposes only. Students are enrolled in this subject while undertaking research towards the completion of their thesis.</p>,,,
51985,2025.01,"<p>The Master of Creative Arts is examined through the presentation of a creative work of the equivalent of 20,000–25,000 words and a thesis of 10,000–15,000 words. Further information is available from <a href=""http://www.uts.edu.au/future-students/communication"" rel=""nofollow"">UTS: Communication</a>.</p>",,,
34776,2025.01,"<p>The Master of Science in Mathematical Sciences (by research) is examined through presentation of a thesis. Further information is available from the <a href=""/courses/c03026.html"" rel=""nofollow"">course description</a>.</p>",,,
60986,2025.01,<p>Information on this subject is available from UTS: Science.</p>,,,
23949,2025.01,"<p>In this subject, students must undertake original research, supervised by a senior member of the school&#39;s academic staff. Students must prepare a proposal, present it and gain approval before proceeding. The thesis should advance knowledge in the area of economics and should be of a standard publishable in an international refereed journal.</p>",,,
979114,2025.01,"<p>This subject is for students admitted to the Doctor of Philosophy in the Faculty of Arts and Social Sciences.</p> <p>Further information is available <a href=""https://www.uts.edu.au/about/faculty-arts-and-social-sciences/research/research-faculty/postgraduate-research-degrees-uts-faculty-arts-and-social-sciences"" rel=""nofollow"">here </a></p>",,,
32986,2025.01,<p>This subject is used for administrative purposes only. Students are enrolled in this subject while undertaking research towards the completion of their thesis.</p>,,,
93001,2025.01,"<p>Further information is available from:</p> <p>Research administration officer<br /> telephone &#43;61 2 9514 4834<br /> email <a href=""mailto:health.research.students&#64;uts.edu.au"" rel=""nofollow"">health.research.students&#64;uts.edu.au</a></p>",,,
24990,2025.01,"<p>Students are required to complete a thesis which is considered to involve an amount of study equivalent to four sessions for full-time study, and six sessions for part-time study. The thesis is expected to present original research of a theoretical or applied nature in marketing. It is not expected to advance knowledge, as is required in the case of a PhD thesis, but it should give evidence of the student&#39;s ability to engage in a substantial investigation, identify and analyse research problems and present the results in a coherent and scholarly manner.</p>",,,
92977,2025.01,"<p>Further information is available from:</p> <p>Research administration officer<br /> telephone &#43;61 2 9514 4834<br /> email <a href=""mailto:health.research.students&#64;uts.edu.au"" rel=""nofollow"">health.research.students&#64;uts.edu.au</a></p>",,,
95592,2025.01,"<p>For subject description, contact UTS: Health (GEM).</p>",,,
22982,2025.01,"<p>Students must undertake original research, supervised by a senior member of the school&#39;s academic staff. Students must prepare a proposal, present it and gain approval before proceeding. The thesis should advance knowledge in the area of accounting, and should be of a standard publishable in an international refereed journal.</p>",,,
95582,2025.01,"<p>Students enrol in this subject as the thesis component of the Doctor of Philosophy in Sustainable Futures (<a href=""/courses/c02037.html"" rel=""nofollow"">C02037</a>). Further information is available from the <a href=""http://www.isf.uts.edu.au"" rel=""nofollow"">Institute for Sustainable Futures</a>.</p>",,,
21982,2025.01,"<p>Students must undertake original research, supervised by a senior member of the school&#39;s academic staff. Students must prepare a proposal, present it and gain approval before proceeding. The thesis should advance knowledge in the area of management, and should be of a standard publishable in an international refereed journal.</p>",,,
77696,2025.01,"<p>This subject develops theoretical understandings and practical applications of research across the discipline of law and related fields. It explores the traditional boundaries of legal research within the development and application of empirical methodologies. Emphasis is placed upon currency in legal research, the application of quantitative and qualitative methodologies to legal research and refining research skills in interdisciplinary areas with application to legal research. Further information is available from:</p> <p>Research officer<br /> telephone &#43;61 2 9514 3753<br /> fax &#43;61 2 9514 3400<br /> email <a href=""mailto:law.research&#64;uts.edu.au"" rel=""nofollow"">law.research&#64;uts.edu.au</a><br /> <a href=""http://www.law.uts.edu.au/"" rel=""nofollow"">www.law.uts.edu.au</a></p>",,,
51991,2025.01,"<p>For subject description, contact UTS: Communication.</p>",,,
95599,2025.01,"<p>For subject description, contact the Graduate School of Health.</p>",,,
25927,2025.01,"<p>Students must undertake original research, supervised by a senior member of the school&#39;s academic staff. Students must prepare a proposal, present it and gain approval before proceeding. The thesis should advance knowledge in the area of finance, and should be of a standard publishable in an international refereed journal.</p>",,,
22995,2025.01,,,,
95583,2025.01,"<p>Students enrol in this subject as the thesis component of the Master of Sustainable Futures (<a href=""/courses/c03032.html"" rel=""nofollow"">C03032</a>). For further details contact the Institute for Sustainable Futures.</p>",,,
16018,2025.01,,,,
51914,2025.01,"<p>This subject is for students admitted to the Master of Arts (Research) in the Faculty of Arts and Social Sciences.</p> <p>Further information is available <a href=""https://www.uts.edu.au/about/faculty-arts-and-social-sciences/research/research-faculty/postgraduate-research-degrees-uts-faculty-arts-and-social-sciences"" rel=""nofollow"">here </a></p>",,,
33874,2025.01,<p>This subject is used for administrative purposes only. Students are enrolled in this subject while undertaking research towards the completion of their thesis.</p>,,,
19982,2025.01,The subject description is available from UTS: Education.,,,
14903,2025.01,"<p>Further information on this subject is available from UTS: Design, Architecture and Building.</p>",,,
93000,2025.01,"<p>Further information is available from:</p> <p>Research administration officer<br /> telephone &#43;61 2 9514 4834<br /> email <a href=""mailto:health.research.students&#64;uts.edu.au"" rel=""nofollow"">health.research.students&#64;uts.edu.au</a></p>",,,
22996,2025.01,,,,
42062,2025.01,<p>This subject is used for administrative purposes only. Students are enrolled in this subject while undertaking research towards the completion of their thesis. </p>,,,
95594,2025.01,"<p>For subject description, contact UTS: Health (GEM). </p>",,,
34980,2025.01,"The Doctor of Philosophy is examined through presentation of a thesis. Further information is available from the <a href=""/courses/c02030.html"" rel=""nofollow"">course description</a>.",,,
18725,2025.01,,,,
91774,2025.01,"<p>For subject description, refer to the Master of Science (Research) (<a href=""/courses/c03029.html"" rel=""nofollow"">C03029</a>).</p>",,,
15903,2025.01,"<p>Further information on this subject is available from UTS: Design, Architecture and Building.</p>",,,
979113,2025.01,"<p>This subject is for students admitted to the Master of Arts (Research) in the Faculty of Arts and Social Sciences.</p> <p>Further information is available <a href=""https://www.uts.edu.au/about/faculty-arts-and-social-sciences/research/research-faculty/postgraduate-research-degrees-uts-faculty-arts-and-social-sciences"" rel=""nofollow"">here </a></p>",,,
49776,2025.01,<p>This subject is used for administrative purposes only. Students are enrolled in this subject while undertaking research towards the completion of their thesis.</p>,,,
95590,2025.01,"<p>For subject description, contact UTS: Health (GEM).</p>",,,
96822,2025.01,,,,
51984,2025.01,"<p>For subject description, contact UTS: Communication.</p>",,,
16017,2025.01,"<p>This subject is for students admitted to the Master of Arts (Research) (Education) in the Faculty of Arts and Social Sciences.</p> <p>Further information is available <a href=""https://www.uts.edu.au/about/faculty-arts-and-social-sciences/research/research-faculty/postgraduate-research-degrees-uts-faculty-arts-and-social-sciences"" rel=""nofollow"">here </a></p>",,,
95000,2025.01,"<p>For subject description, contact UTS: Transdisciplinary Innovation.</p>",,,
95595,2025.01,"<p>For subject description, contact UTS: Health (GEM).</p>",,,
93007,2025.01,"<p>Further information is available from:</p> <p>Research administration officer<br /> telephone &#43;61 2 9514 4834<br /> email <a href=""mailto:health.research.students&#64;uts.edu.au"" rel=""nofollow"">health.research.students&#64;uts.edu.au</a></p>",,,
24912,2025.01,"<p>Students undertake original research, supervised by a senior member of the school&#39;s academic staff. Students prepare a proposal, present it and gain approval before proceeding. The thesis should advance knowledge in the area of business analytics and be of a standard publishable in an international refereed journal.</p>",,,
90010,2025.01,,,,
13905,2025.01,"<p>Further information on this subject is available from UTS: Design, Architecture and Building.</p>",,,
92975,2025.01,"<p>For details on this subject contact the faculty research administrator:</p> <p>Research Administration Officer<br /> telephone &#43;61 2 9514 4834<br /> email <strong><a href=""mailto:health.research.students&#64;uts.edu.au"" rel=""nofollow"">health.research.students&#64;uts.edu.au</a></strong></p>",,,
51915,2025.01,"<p>This subject is for students admitted to the Doctor of Philosophy in the Faculty of Arts and Social Sciences.</p> <p>Further information is available <a href=""https://www.uts.edu.au/about/faculty-arts-and-social-sciences/research/research-faculty/postgraduate-research-degrees-uts-faculty-arts-and-social-sciences"" rel=""nofollow"">here </a></p>",,,
95601,2025.01,"<p>For subject description, contact the Gradiuate School of Health.</p>",,,
31675,2025.01,<p>This subject is used for administrative purposes only. Students are enrolled in this subject while undertaking research towards the completion of their thesis.</p>,,,
92097,2025.01,,,,
13907,2025.01,"Further information on this subject is available from UTS: Design, Architecture and Building.",,,
42063,2025.01,<p>This subject is used for administrative purposes only. Students are enrolled in this subject while undertaking research towards the completion of their thesis.</p>,,,
21996,2025.01,,,,
95596,2025.01,"<p>For subject description, contact UTS: Health (GEM).</p>",,,
33875,2025.01,<p>This subject is used for administrative purposes only. Students are enrolled in this subject while undertaking research towards the completion of their thesis.</p>,,,
95591,2025.01,"<p>For subject description, contact UTS: Health (GEM).</p>",,,
24981,2025.01,,,,
95593,2025.01,"<p>For subject description, contact UTS: Health (GEM).</p>",,,
95598,2025.01,"<p>For subject description, contact the Graduate School of Health.</p>",,,
