academic_item,applies_to_all_offerings,code,type,Status
C04255,True,080952M,CRICOS,Removed or Changed
C04255,True,080952M,CRICOS,Removed or Changed
C04255,True,080952M,CRICOS,Removed or Changed
C04255,True,080952M,CRICOS,Removed or Changed
C04255,True,080952M,CRICOS,Removed or Changed
C04255,True,080952M,CRICOS,Removed or Changed
C04255,True,080952M,CRICOS,Removed or Changed
C04255,True,080952M,CRICOS,Removed or Changed
C04255,True,080952M,CRICOS,Removed or Changed
C04255,True,080952M,CRICOS,Removed or Changed
C04419,True,107830F,CRICOS,Removed or Changed
C04419,True,107830F,CRICOS,Removed or Changed
C04419,True,107830F,CRICOS,Removed or Changed
C04419,True,107830F,CRICOS,Removed or Changed
C04419,True,107830F,CRICOS,Removed or Changed
C04419,True,107830F,CRICOS,Removed or Changed
C04419,True,107830F,CRICOS,Removed or Changed
C04419,True,107830F,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C07122,True,080597C,CRICOS,Removed or Changed
C11281,True,107947D,CRICOS,Removed or Changed
C11281,True,107947D,CRICOS,Removed or Changed
C11281,True,107947D,CRICOS,Removed or Changed
C11281,True,107947D,CRICOS,Removed or Changed
C11281,True,107947D,CRICOS,Removed or Changed
C11281,True,107947D,CRICOS,Removed or Changed
C11281,True,107947D,CRICOS,Removed or Changed
C11281,True,107947D,CRICOS,Removed or Changed
C06129,True,098388J,CRICOS,Removed or Changed
C06129,True,098388J,CRICOS,Removed or Changed
