academic_item,applies_to_all_offerings,code,type
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03001,True,008672F,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03002,True,008674D,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
C03012,True,030867M,CRICOS
